f 1m 1f 2m 2f 3m 3f 4m 4f jL2m jL2f jL4m jL4f jVINm jVINf 
1.88998 0.00140386 -58.7244 0.269555 -74.3618 1 0 0.0588363 -74.3556 0.190234 15.6365 0.0344999 15.2674 0.962983 -164.362
1.9169 0.00165806 -59.2745 0.264929 -74.6367 1 0 0.0586366 -74.6282 0.183622 15.3609 0.0337513 14.9309 0.964265 -164.637
1.94421 0.00190047 -59.8109 0.260412 -74.9047 1 0 0.0584007 -74.8936 0.177286 15.0921 0.0330021 14.6055 0.965494 -164.905
1.97191 0.00213119 -60.3341 0.256 -75.1661 1 0 0.058132 -75.1524 0.171211 14.8299 0.0322546 14.2907 0.966672 -165.167
2 0.0023504 -60.8447 0.25169 -75.4211 1 0 0.0578336 -75.4046 0.165384 14.5739 0.0315109 13.986 0.967802 -165.422
2.02849 0.00255829 -61.3432 0.247478 -75.6701 1 0 0.0575083 -75.6508 0.159791 14.324 0.0307726 13.691 0.968887 -165.672
2.05739 0.00275512 -61.83 0.243359 -75.9133 1 0 0.0571587 -75.891 0.15442 14.0799 0.0300411 13.4051 0.969928 -165.915
2.0867 0.00294114 -62.3056 0.239331 -76.1508 1 0 0.0567871 -76.1256 0.149262 13.8413 0.0293177 13.128 0.970929 -166.153
2.11643 0.00311664 -62.7704 0.23539 -76.3829 1 0 0.0563957 -76.3548 0.144304 13.6082 0.0286034 12.8593 0.971891 -166.385
2.14658 0.00328193 -63.2248 0.231535 -76.6098 1 0 0.0559865 -76.5788 0.139537 13.3803 0.0278991 12.5986 0.972816 -166.613
2.17716 0.00343732 -63.6692 0.22776 -76.8317 1 0 0.0555612 -76.7978 0.134953 13.1574 0.0272055 12.3455 0.973705 -166.835
2.20818 0.00358314 -64.1038 0.224065 -77.0487 1 0 0.0551216 -77.012 0.130542 12.9393 0.0265233 12.0997 0.974561 -167.052
2.23964 0.00371969 -64.5291 0.220447 -77.261 1 0 0.0546692 -77.2216 0.126296 12.726 0.0258527 11.861 0.975385 -167.265
2.27154 0.00384732 -64.9453 0.216902 -77.4688 1 0 0.0542053 -77.4268 0.122208 12.5171 0.0251944 11.629 0.976178 -167.473
2.30391 0.00396635 -65.3528 0.213429 -77.6723 1 0 0.0537313 -77.6276 0.118271 12.3127 0.0245486 11.4034 0.976942 -167.677
2.33673 0.0040771 -65.7518 0.210026 -77.8715 1 0 0.0532483 -77.8243 0.114477 12.1125 0.0239154 11.184 0.977679 -167.876
2.37002 0.00417989 -66.1426 0.206691 -78.0666 1 0 0.0527575 -78.017 0.110821 11.9165 0.0232952 10.9705 0.978388 -168.072
2.40378 0.00427505 -66.5255 0.203421 -78.2577 1 0 0.0522598 -78.2058 0.107296 11.7244 0.0226879 10.7628 0.979073 -168.263
2.43803 0.00436287 -66.9006 0.200214 -78.445 1 0 0.0517562 -78.3909 0.103898 11.5362 0.0220936 10.5605 0.979733 -168.451
2.47276 0.00444367 -67.2683 0.197069 -78.6285 1 0 0.0512475 -78.5723 0.100619 11.3517 0.0215124 10.3635 0.980369 -168.634
2.50799 0.00451775 -67.6287 0.193985 -78.8084 1 0 0.0507345 -78.7502 0.0974565 11.1709 0.0209441 10.1715 0.980984 -168.815
2.54372 0.00458539 -67.9821 0.190958 -78.9849 1 0 0.050218 -78.9248 0.0944041 10.9937 0.0203889 9.98447 0.981577 -168.991
2.57996 0.00464687 -68.3287 0.187989 -79.1579 1 0 0.0496987 -79.0959 0.0914577 10.8199 0.0198465 9.80212 0.982149 -169.165
2.61671 0.00470248 -68.6686 0.185075 -79.3276 1 0 0.0491771 -79.2639 0.0886129 10.6494 0.0193168 9.6243 0.982702 -169.335
2.65399 0.00475247 -69.002 0.182214 -79.494 1 0 0.0486539 -79.4288 0.0858657 10.4822 0.0187998 9.45084 0.983236 -169.501
2.6918 0.0047971 -69.3292 0.179406 -79.6574 1 0 0.0481295 -79.5906 0.0832121 10.3182 0.0182952 9.28161 0.983752 -169.665
2.73015 0.00483662 -69.6502 0.176649 -79.8176 1 0 0.0476045 -79.7495 0.0806484 10.1572 0.0178029 9.11643 0.98425 -169.825
2.76904 0.00487128 -69.9653 0.173942 -79.975 1 0 0.0470793 -79.9055 0.078171 9.99925 0.0173228 8.95519 0.984732 -169.983
2.80849 0.0049013 -70.2746 0.171283 -80.1294 1 0 0.0465543 -80.0587 0.0757767 9.8442 0.0168546 8.79773 0.985197 -170.138
2.8485 0.00492691 -70.5783 0.168672 -80.281 1 0 0.04603 -80.2092 0.0734622 9.692 0.0163981 8.64394 0.985648 -170.289
2.88908 0.00494832 -70.8765 0.166107 -80.4299 1 0 0.0455067 -80.357 0.0712244 9.54258 0.0159531 8.49369 0.986083 -170.438
2.93024 0.00496574 -71.1693 0.163587 -80.5761 1 0 0.0449847 -80.5022 0.0690605 9.39586 0.0155195 8.34686 0.986504 -170.585
2.97199 0.00497938 -71.4568 0.16111 -80.7197 1 0 0.0444643 -80.6449 0.0669676 9.25177 0.0150969 8.20335 0.986911 -170.729
3.01433 0.00498942 -71.7393 0.158677 -80.8608 1 0 0.0439458 -80.7852 0.0649431 9.11026 0.0146853 8.06305 0.987305 -170.87
3.05727 0.00499605 -72.0168 0.156286 -80.9994 1 0 0.0434294 -80.923 0.0629844 8.97126 0.0142842 7.92585 0.987687 -171.009
3.10083 0.00499944 -72.2894 0.153935 -81.1355 1 0 0.0429155 -81.0585 0.0610892 8.8347 0.0138937 7.79165 0.988056 -171.145
3.145 0.00499978 -72.5573 0.151625 -81.2693 1 0 0.0424042 -81.1917 0.0592552 8.70054 0.0135133 7.66037 0.988413 -171.279
3.18981 0.00499721 -72.8206 0.149354 -81.4008 1 0 0.0418957 -81.3227 0.05748 8.56872 0.0131429 7.53192 0.988759 -171.411
3.23525 0.00499189 -73.0793 0.147121 -81.5301 1 0 0.0413902 -81.4515 0.0557616 8.43917 0.0127823 7.4062 0.989093 -171.54
3.28134 0.00498399 -73.3336 0.144926 -81.6571 1 0 0.0408879 -81.5781 0.054098 8.31186 0.0124312 7.28314 0.989417 -171.667
3.32809 0.00497363 -73.5836 0.142767 -81.782 1 0 0.0403889 -81.7027 0.0524871 8.18672 0.0120895 7.16265 0.989731 -171.792
3.3755 0.00496096 -73.8294 0.140644 -81.9048 1 0 0.0398934 -81.8252 0.0509272 8.06372 0.0117568 7.04467 0.990035 -171.915
3.42359 0.00494611 -74.071 0.138556 -82.0255 1 0 0.0394015 -81.9457 0.0494165 7.9428 0.011433 6.92911 0.99033 -172.036
3.47236 0.00492921 -74.3086 0.136502 -82.1442 1 0 0.0389133 -82.0642 0.0479532 7.82391 0.0111179 6.81592 0.990615 -172.154
3.52183 0.00491037 -74.5422 0.134482 -82.2609 1 0 0.038429 -82.1809 0.0465357 7.70702 0.0108113 6.70501 0.990892 -172.271
3.57201 0.00488972 -74.772 0.132495 -82.3757 1 0 0.0379486 -82.2956 0.0451624 7.59208 0.0105129 6.59633 0.991159 -172.386
3.62289 0.00486736 -74.998 0.130541 -82.4887 1 0 0.0374721 -82.4085 0.0438318 7.47905 0.0102226 6.48982 0.991419 -172.499
3.67451 0.00484339 -75.2202 0.128618 -82.5997 1 0 0.0369998 -82.5196 0.0425425 7.36789 0.00994013 6.38542 0.991671 -172.61
3.72686 0.00481793 -75.4388 0.126726 -82.709 1 0 0.0365316 -82.6289 0.041293 7.25856 0.00966531 6.28306 0.991914 -172.72
3.77995 0.00479106 -75.6539 0.124864 -82.8165 1 0 0.0360677 -82.7365 0.040082 7.15101 0.00939794 6.18269 0.992151 -172.827
3.8338 0.00476288 -75.8655 0.123032 -82.9223 1 0 0.035608 -82.8424 0.0389082 7.04523 0.00913784 6.08427 0.99238 -172.933
3.88842 0.00473347 -76.0736 0.121229 -83.0263 1 0 0.0351526 -82.9466 0.0377704 6.94116 0.00888483 5.98773 0.992602 -173.037
3.94381 0.00470293 -76.2784 0.119455 -83.1287 1 0 0.0347016 -83.0492 0.0366674 6.83878 0.00863871 5.89304 0.992817 -173.139
4 0.00467132 -76.48 0.117708 -83.2294 1 0 0.034255 -83.1502 0.035598 6.73805 0.00839931 5.80013 0.993026 -173.24
