f 1m 1f 2m 2f 3m 3f jL1m jL1f jL2m jL2f jV0300m jV0300f 
0.171488 13.9427 0 9.33377 180 1 -0 13.9457 -90 10.0571 90 13.9457 90
0.171884 12.8235 0 8.28983 180 1 -0 12.7692 -90 8.95284 90 12.7692 90
0.172281 11.8934 0 7.43222 180 1 -0 11.7918 -90 8.04516 90 11.7918 90
0.172678 11.1074 0 6.71607 180 1 -0 10.9662 -90 7.28673 90 10.9662 90
0.173077 10.4336 0 6.10978 180 1 -0 10.2588 -90 6.64421 90 10.2588 90
0.173476 9.84922 0 5.59046 180 1 -0 9.64548 -90 6.0935 90 9.64548 90
0.173876 9.33702 0 5.14115 180 1 -0 9.10817 -90 5.61669 90 9.10817 90
0.174277 8.88409 0 4.749 180 1 -0 8.63321 -90 5.20023 90 8.63321 90
0.17468 8.48039 0 4.40408 180 1 -0 8.21007 -90 4.83367 90 8.21007 90
0.175083 8.11808 0 4.09864 180 1 -0 7.83044 -90 4.50882 90 7.83044 90
0.175487 7.7909 0 3.82651 180 1 -0 7.48775 -90 4.21917 90 7.48775 90
0.175892 7.4938 0 3.58273 180 1 -0 7.17669 -90 3.95949 90 7.17669 90
0.176298 7.22267 0 3.36327 180 1 -0 6.89291 -90 3.72553 90 6.89291 90
0.176704 6.97412 0 3.16482 180 1 -0 6.63286 -90 3.51379 90 6.63286 90
0.177112 6.74534 0 2.98463 180 1 -0 6.39358 -90 3.32138 90 6.39358 90
0.177521 6.53397 0 2.82041 180 1 -0 6.17257 -90 3.14588 90 6.17257 90
0.17793 6.33802 0 2.67024 180 1 -0 5.96775 -90 2.98524 90 5.96775 90
0.178341 6.1558 0 2.53246 180 1 -0 5.77732 -90 2.83775 90 5.77732 90
0.178753 5.98584 0 2.4057 180 1 -0 5.59977 -90 2.70193 90 5.59977 90
0.179165 5.8269 0 2.28875 180 1 -0 5.43377 -90 2.57651 90 5.43377 90
0.179578 5.6779 0 2.18057 180 1 -0 5.27819 -90 2.46039 90 5.27819 90
0.179993 5.53789 0 2.08028 180 1 -0 5.13203 -90 2.35265 90 5.13203 90
0.180408 5.40605 0 1.98708 180 1 -0 4.99443 -90 2.25244 90 4.99443 90
0.180824 5.28166 0 1.90031 180 1 -0 4.86462 -90 2.15904 90 4.86462 90
0.181242 5.16406 0 1.81935 180 1 -0 4.74193 -90 2.07183 90 4.74193 90
0.18166 5.05271 0 1.74368 180 1 -0 4.62577 -90 1.99024 90 4.62577 90
0.182079 4.94708 0 1.67282 180 1 -0 4.51561 -90 1.91377 90 4.51561 90
0.182499 4.84674 0 1.60637 180 1 -0 4.41097 -90 1.84199 90 4.41097 90
0.18292 4.75128 0 1.54395 180 1 -0 4.31143 -90 1.7745 90 4.31143 90
0.183343 4.66033 0 1.48524 180 1 -0 4.2166 -90 1.71096 90 4.2166 90
0.183766 4.57356 0 1.42992 180 1 -0 4.12616 -90 1.65104 90 4.12616 90
0.18419 4.4907 0 1.37775 180 1 -0 4.03978 -90 1.59446 90 4.03978 90
0.184615 4.41146 0 1.32847 180 1 -0 3.95718 -90 1.54098 90 3.95718 90
0.185041 4.3356 0 1.28186 180 1 -0 3.87812 -90 1.49035 90 3.87812 90
0.185468 4.26291 0 1.23774 180 1 -0 3.80235 -90 1.44238 90 3.80235 90
0.185896 4.19317 0 1.19593 180 1 -0 3.72968 -90 1.39686 90 3.72968 90
0.186325 4.12621 0 1.15625 180 1 -0 3.6599 -90 1.35364 90 3.6599 90
0.186755 4.06186 0 1.11857 180 1 -0 3.59283 -90 1.31254 90 3.59283 90
0.187186 3.99997 0 1.08274 180 1 -0 3.52833 -90 1.27344 90 3.52833 90
0.187617 3.94038 0 1.04865 180 1 -0 3.46622 -90 1.23619 90 3.46622 90
0.18805 3.88297 0 1.01618 180 1 -0 3.40639 -90 1.20068 90 3.40639 90
0.188484 3.82761 0 0.985231 180 1 -0 3.34869 -90 1.16679 90 3.34869 90
0.188919 3.7742 0 0.955701 180 1 -0 3.29301 -90 1.13443 90 3.29301 90
0.189355 3.72262 0 0.927504 180 1 -0 3.23925 -90 1.1035 90 3.23925 90
0.189792 3.67279 0 0.90056 180 1 -0 3.1873 -90 1.07392 90 3.1873 90
0.19023 3.62461 0 0.874794 180 1 -0 3.13707 -90 1.0456 90 3.13707 90
0.190669 3.578 0 0.850137 180 1 -0 3.08847 -90 1.01847 90 3.08847 90
0.191109 3.53288 0 0.826524 180 1 -0 3.04142 -90 0.992468 90 3.04142 90
0.19155 3.48918 0 0.803895 180 1 -0 2.99584 -90 0.967524 90 2.99584 90
0.191992 3.44683 0 0.782197 180 1 -0 2.95166 -90 0.943581 90 2.95166 90
0.192435 3.40576 0 0.761377 180 1 -0 2.90882 -90 0.920585 90 2.90882 90
0.192879 3.36593 0 0.741387 180 1 -0 2.86725 -90 0.898484 90 2.86725 90
0.193324 3.32726 0 0.722184 180 1 -0 2.8269 -90 0.877231 90 2.8269 90
0.19377 3.28971 0 0.703725 180 1 -0 2.78771 -90 0.856781 90 2.78771 90
