f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f jL0400m jL0400f jL0600m jL0600f jL0809m jL0809f jV0300m jV0300f jV0500m jV0500f jV1000m jV1000f 
0.0259502 1 45 0.986967 -9.2606 1 0 0.160925 170.739 1 90 0.0273112 179.76 0.0276304 171.043 24.5527 -42.6658 23.9011 -42.6021 1 0 0.246742 80.7394 0.0418755 89.7601 1 -135 0.0402313 -99.2606 0.246742 -99.2606 0.0418755 -90.2399
0.0265609 1 45 0.986359 -9.4746 1 0 0.16461 170.525 1 90 0.0286489 179.754 0.0289686 171.234 23.9892 -42.6109 23.3222 -42.5425 1 0 0.24659 80.5254 0.0429166 89.7541 1 -135 0.0411526 -99.4746 0.24659 -99.4746 0.0429166 -90.2459
0.0271859 1 45 0.985723 -9.69336 1 0 0.168375 170.307 1 90 0.030054 179.748 0.0303742 171.421 23.4386 -42.5548 22.756 -42.4814 1 0 0.246431 80.3066 0.0439865 89.748 1 -135 0.0420938 -99.6934 0.246431 -99.6934 0.0439865 -90.252
0.0278256 1 45 0.985058 -9.91698 1 0 0.172221 170.083 1 90 0.0315302 179.742 0.0318509 171.604 22.9008 -42.4973 22.2021 -42.4185 1 0 0.246265 80.083 0.045086 89.7417 1 -135 0.0430553 -99.917 0.246265 -99.917 0.045086 -90.2583
0.0284804 1 45 0.984363 -10.1455 1 0 0.176149 169.854 1 90 0.0330811 179.735 0.0334024 171.782 22.3753 -42.4385 21.6602 -42.3539 1 0 0.246091 79.8545 0.0462163 89.7352 1 -135 0.0440373 -100.146 0.246091 -100.146 0.0462163 -90.2648
0.0291505 1 45 0.983637 -10.3791 1 0 0.180161 169.621 1 90 0.034711 179.729 0.0350328 171.956 21.8619 -42.3783 21.1301 -42.2874 1 0 0.245909 79.6209 0.0473784 89.7285 1 -135 0.0450403 -100.379 0.245909 -100.379 0.0473784 -90.2715
0.0298365 1 45 0.982878 -10.6179 1 0 0.184258 169.382 1 90 0.036424 179.722 0.0367464 172.126 21.3604 -42.3167 20.6114 -42.2191 1 0 0.245719 79.3821 0.0485736 89.7217 1 -135 0.0460646 -100.618 0.245719 -100.618 0.0485736 -90.2783
0.0305386 1 45 0.982084 -10.8619 1 0 0.188442 169.138 1 90 0.0382246 179.715 0.0385477 172.291 20.8704 -42.2536 20.1038 -42.1488 1 0 0.245521 79.1381 0.0498029 89.7146 1 -135 0.0471104 -100.862 0.245521 -100.862 0.0498029 -90.2854
0.0312572 1 45 0.981255 -11.1112 1 0 0.192713 168.889 1 90 0.0401177 179.707 0.0404414 172.453 20.3917 -42.1891 19.6071 -42.0765 1 0 0.245314 78.8888 0.0510677 89.7074 1 -135 0.0481783 -101.111 0.245314 -101.111 0.0510677 -90.2926
0.0319927 1 45 0.980389 -11.3659 1 0 0.197074 168.634 1 90 0.0421083 179.7 0.0424327 172.611 19.924 -42.1231 19.121 -42.0022 1 0 0.245097 78.6341 0.0523694 89.6999 1 -135 0.0492684 -101.366 0.245097 -101.366 0.0523694 -90.3001
