f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f jV0400m jV0400f jV0600m jV0600f jV0200m jV0200f jV0800m jV0800f 
3.94421 28345.8 179.878 0 0 0.666738 -0.0405102 0 0 0.25388 -179.88 1 0 290.614 -0.121969 0 0 2.80988e-08 -90.122 3.77571e-14 -89.9377 2.83458 179.878 3.54322 -0.121971
4.03702 28345.8 179.875 0 0 0.666738 -0.0414634 0 0 0.25388 -179.878 1 0 290.614 -0.124839 0 0 2.876e-08 -90.1248 3.86455e-14 -89.9362 2.83458 179.875 3.54322 -0.124841
4.13201 28345.8 179.872 0 0 0.666738 -0.0424391 0 0 0.25388 -179.875 1 0 290.614 -0.127777 0 0 2.94368e-08 -90.1278 3.95549e-14 -89.9347 2.83458 179.872 3.54322 -0.127779
4.22924 28345.8 179.869 0 0 0.666738 -0.0434377 0 0 0.25388 -179.872 1 0 290.614 -0.130784 0 0 3.01294e-08 -90.1308 4.04857e-14 -89.9332 2.83458 179.869 3.54322 -0.130786
4.32876 28345.8 179.866 0 0 0.666738 -0.0444599 0 0 0.253881 -179.869 1 0 290.614 -0.133861 0 0 3.08384e-08 -90.1339 4.14384e-14 -89.9316 2.83458 179.866 3.54322 -0.133863
4.43062 28345.8 179.863 0 0 0.666738 -0.045506 0 0 0.253881 -179.866 1 0 290.614 -0.137011 0 0 3.15641e-08 -90.137 4.24134e-14 -89.93 2.83458 179.863 3.54322 -0.137013
4.53488 28345.8 179.86 0 0 0.666738 -0.0465768 0 0 0.253881 -179.863 1 0 290.614 -0.140235 0 0 3.23068e-08 -90.1402 4.34115e-14 -89.9283 2.83458 179.86 3.54322 -0.140237
4.64159 28345.8 179.856 0 0 0.666738 -0.0476728 0 0 0.253881 -179.859 1 0 290.614 -0.143535 0 0 3.3067e-08 -90.1435 4.4433e-14 -89.9266 2.83458 179.856 3.54322 -0.143537
4.75081 28345.8 179.853 0 0 0.666737 -0.0487946 0 0 0.253881 -179.856 1 0 290.614 -0.146912 0 0 3.38451e-08 -90.1469 4.54786e-14 -89.9249 2.83458 179.853 3.54322 -0.146914
4.8626 28345.8 179.85 0 0 0.666737 -0.0499428 0 0 0.253881 -179.853 1 0 290.613 -0.150369 0 0 3.46415e-08 -90.1504 4.65487e-14 -89.9232 2.83458 179.85 3.54322 -0.150371
4.97702 28345.8 179.846 0 0 0.666737 -0.051118 0 0 0.253881 -179.849 1 0 290.613 -0.153908 0 0 3.54566e-08 -90.1539 4.76441e-14 -89.9213 2.83458 179.846 3.54322 -0.15391
5.09414 28345.8 179.842 0 0 0.666737 -0.0523208 0 0 0.253881 -179.846 1 0 290.613 -0.157529 0 0 3.6291e-08 -90.1575 4.87652e-14 -89.9195 2.83458 179.842 3.54322 -0.157531
5.21401 28345.8 179.839 0 0 0.666737 -0.053552 0 0 0.253881 -179.842 1 0 290.613 -0.161236 0 0 3.71449e-08 -90.1612 4.99127e-14 -89.9176 2.83458 179.839 3.54322 -0.161238
5.3367 28345.7 179.835 0 0 0.666737 -0.0548121 0 0 0.253882 -179.838 1 0 290.613 -0.16503 0 0 3.8019e-08 -90.165 5.10872e-14 -89.9157 2.83457 179.835 3.54322 -0.165032
5.46228 28345.7 179.831 0 0 0.666737 -0.0561019 0 0 0.253882 -179.834 1 0 290.613 -0.168913 0 0 3.89136e-08 -90.1689 5.22894e-14 -89.9137 2.83457 179.831 3.54322 -0.168916
5.59081 28345.7 179.827 0 0 0.666737 -0.057422 0 0 0.253882 -179.831 1 0 290.613 -0.172888 0 0 3.98293e-08 -90.1729 5.35198e-14 -89.9116 2.83457 179.827 3.54322 -0.172891
5.72237 28345.7 179.823 0 0 0.666737 -0.0587731 0 0 0.253882 -179.827 1 0 290.613 -0.176956 0 0 4.07665e-08 -90.177 5.47792e-14 -89.9096 2.83457 179.823 3.54322 -0.176959
5.85702 28345.7 179.819 0 0 0.666737 -0.0601561 0 0 0.253882 -179.823 1 0 290.613 -0.18112 0 0 4.17257e-08 -90.1811 5.60682e-14 -89.9074 2.83457 179.819 3.54321 -0.181123
5.99484 28345.7 179.815 0 0 0.666737 -0.0615716 0 0 0.253882 -179.818 1 0 290.613 -0.185382 0 0 4.27076e-08 -90.1854 5.73876e-14 -89.9053 2.83457 179.815 3.54321 -0.185385
6.13591 28345.7 179.81 0 0 0.666737 -0.0630205 0 0 0.253883 -179.814 1 0 290.613 -0.189744 0 0 4.37125e-08 -90.1897 5.8738e-14 -89.903 2.83457 179.81 3.54321 -0.189747
6.28029 28345.7 179.806 0 0 0.666737 -0.0645034 0 0 0.253883 -179.81 1 0 290.613 -0.194209 0 0 4.47411e-08 -90.1942 6.01202e-14 -89.9008 2.83457 179.806 3.54321 -0.194212
6.42807 28345.7 179.801 0 0 0.666736 -0.0660212 0 0 0.253883 -179.805 1 0 290.613 -0.198779 0 0 4.57939e-08 -90.1988 6.15349e-14 -89.8984 2.83457 179.801 3.54321 -0.198782
6.57933 28345.7 179.797 0 0 0.666736 -0.0675747 0 0 0.253883 -179.801 1 0 290.613 -0.203456 0 0 4.68715e-08 -90.2035 6.29829e-14 -89.896 2.83457 179.797 3.54321 -0.203459
6.73415 28345.7 179.792 0 0 0.666736 -0.0691648 0 0 0.253883 -179.796 1 0 290.613 -0.208244 0 0 4.79744e-08 -90.2082 6.4465e-14 -89.8936 2.83457 179.792 3.54321 -0.208247
6.89261 28345.7 179.787 0 0 0.666736 -0.0707922 0 0 0.253884 -179.791 1 0 290.612 -0.213144 0 0 4.91033e-08 -90.2131 6.59819e-14 -89.8911 2.83457 179.787 3.54321 -0.213147
7.0548 28345.7 179.782 0 0 0.666736 -0.072458 0 0 0.253884 -179.786 1 0 290.612 -0.218159 0 0 5.02587e-08 -90.2182 6.75346e-14 -89.8885 2.83457 179.782 3.54321 -0.218163
7.22081 28345.6 179.777 0 0 0.666736 -0.074163 0 0 0.253884 -179.781 1 0 290.612 -0.223293 0 0 5.14413e-08 -90.2233 6.91238e-14 -89.8859 2.83456 179.777 3.54321 -0.223296
7.39072 28345.6 179.771 0 0 0.666736 -0.0759081 0 0 0.253884 -179.776 1 0 290.612 -0.228547 0 0 5.26518e-08 -90.2286 7.07504e-14 -89.8832 2.83456 179.771 3.5432 -0.228551
7.56463 28345.6 179.766 0 0 0.666736 -0.0776943 0 0 0.253885 -179.771 1 0 290.612 -0.233925 0 0 5.38907e-08 -90.2339 7.24152e-14 -89.8805 2.83456 179.766 3.5432 -0.233929
7.74264 28345.6 179.761 0 0 0.666735 -0.0795224 0 0 0.253885 -179.765 1 0 290.612 -0.239429 0 0 5.51588e-08 -90.2394 7.41193e-14 -89.8776 2.83456 179.761 3.5432 -0.239433
7.92483 28345.6 179.755 0 0 0.666735 -0.0813936 0 0 0.253885 -179.76 1 0 290.612 -0.245063 0 0 5.64567e-08 -90.2451 7.58634e-14 -89.8748 2.83456 179.755 3.5432 -0.245067
8.11131 28345.6 179.749 0 0 0.666735 -0.0833089 0 0 0.253886 -179.754 1 0 290.612 -0.25083 0 0 5.77851e-08 -90.2508 7.76486e-14 -89.8718 2.83456 179.749 3.5432 -0.250834
8.30218 28345.6 179.743 0 0 0.666735 -0.0852691 0 0 0.253886 -179.748 1 0 290.612 -0.256732 0 0 5.91449e-08 -90.2567 7.94758e-14 -89.8688 2.83456 179.743 3.5432 -0.256736
