f 1m 1f 2m 2f jV0200m jV0200f 
21.8776 2.13715 1.35542 10 -0 2.13715 -1.78617 
22.3872 2.18458 1.35056 10 -0 2.18458 -1.79103 
22.9087 2.23296 1.3456 10 -0 2.23296 -1.79599 
23.4423 2.28229 1.34054 10 -0 2.28229 -1.80105 
23.9883 2.33259 1.33537 10 -0 2.33259 -1.80622 
24.5471 2.38387 1.33009 10 -0 2.38387 -1.8115 
25.1189 2.43613 1.32471 10 -0 2.43613 -1.81689 
25.704 2.4894 1.31921 10 -0 2.4894 -1.82238 
26.3027 2.54367 1.3136 10 -0 2.54367 -1.82799 
26.9153 2.59896 1.30788 10 -0 2.59896 -1.83371 
27.5423 2.65528 1.30204 10 -0 2.65528 -1.83955 
28.1838 2.71262 1.29609 10 -0 2.71262 -1.8455 
28.8403 2.77101 1.29002 10 -0 2.77101 -1.85157 
29.5121 2.83044 1.28383 10 -0 2.83044 -1.85776 
30.1995 2.89091 1.27752 10 -0 2.89091 -1.86407 
30.903 2.95244 1.27109 10 -0 2.95244 -1.87051 
31.6228 3.01503 1.26453 10 -0 3.01503 -1.87706 
32.3594 3.07867 1.25785 10 -0 3.07867 -1.88375 
33.1131 3.14337 1.25104 10 -0 3.14337 -1.89055 
33.8844 3.20912 1.2441 10 -0 3.20912 -1.89749 
34.6737 3.27593 1.23704 10 -0 3.27593 -1.90455 
35.4813 3.34379 1.22985 10 -0 3.34379 -1.91174 
36.3078 3.4127 1.22253 10 -0 3.4127 -1.91906 
37.1535 3.48265 1.21508 10 -0 3.48265 -1.92652 
38.0189 3.55363 1.20749 10 -0 3.55363 -1.9341 
38.9045 3.62563 1.19978 10 -0 3.62563 -1.94181 
39.8107 3.69864 1.19193 10 -0 3.69864 -1.94966 
40.738 3.77265 1.18395 10 -0 3.77265 -1.95764 
41.6869 3.84765 1.17584 10 -0 3.84765 -1.96575 
42.658 3.92361 1.1676 10 -0 3.92361 -1.97399 
43.6516 4.00051 1.15922 10 -0 4.00051 -1.98237 
44.6684 4.07834 1.15072 10 -0 4.07834 -1.99088 
45.7088 4.15708 1.14208 10 -0 4.15708 -1.99952 
46.7735 4.23669 1.1333 10 -0 4.23669 -2.00829 
47.863 4.31716 1.1244 10 -0 4.31716 -2.01719 
48.9779 4.39844 1.11537 10 -0 4.39844 -2.02622 
50.1187 4.48051 1.10621 10 -0 4.48051 -2.03538 
51.2861 4.56334 1.09693 10 -0 4.56334 -2.04467 
52.4807 4.64689 1.08751 10 -0 4.64689 -2.05408 
53.7032 4.73112 1.07798 10 -0 4.73112 -2.06362 
54.9541 4.81598 1.06832 10 -0 4.81598 -2.07327 
56.2341 4.90145 1.05854 10 -0 4.90145 -2.08305 
57.544 4.98746 1.04864 10 -0 4.98746 -2.09295 
58.8844 5.07398 1.03863 10 -0 5.07398 -2.10296 
60.256 5.16095 1.02851 10 -0 5.16095 -2.11308 
61.6595 5.24833 1.01828 10 -0 5.24833 -2.12331 
63.0957 5.33605 1.00794 10 -0 5.33605 -2.13365 
64.5654 5.42407 0.997496 10 -0 5.42407 -2.1441 
66.0693 5.51233 0.986955 10 -0 5.51233 -2.15464 
67.6083 5.60077 0.976317 10 -0 5.60077 -2.16528 
69.1831 5.68933 0.965589 10 -0 5.68933 -2.176 
70.7946 5.77795 0.954772 10 -0 5.77795 -2.18682 
72.4436 5.86656 0.943873 10 -0 5.86656 -2.19772 
74.131 5.95511 0.932895 10 -0 5.95511 -2.2087 
75.8578 6.04353 0.921843 10 -0 6.04353 -2.21975 
77.6247 6.13175 0.910723 10 -0 6.13175 -2.23087 
79.4328 6.21971 0.899538 10 -0 6.21971 -2.24205 
81.2831 6.30735 0.888296 10 -0 6.30735 -2.2533 
83.1764 6.3946 0.877 10 -0 6.3946 -2.26459 
85.1138 6.4814 0.865657 10 -0 6.4814 -2.27594 
87.0964 6.56767 0.854272 10 -0 6.56767 -2.28732 
89.1251 6.65337 0.842851 10 -0 6.65337 -2.29874 
91.2011 6.73842 0.8314 10 -0 6.73842 -2.31019 
93.3254 6.82276 0.819925 10 -0 6.82276 -2.32167 
95.4993 6.90634 0.808431 10 -0 6.90634 -2.33316 
97.7237 6.98909 0.796926 10 -0 6.98909 -2.34467 
100 7.07096 0.785414 10 -0 7.07096 -2.35618 
102.329 7.15189 0.773902 10 -0 7.15189 -2.36769 
104.713 7.23183 0.762396 10 -0 7.23183 -2.3792 
107.152 7.31074 0.750902 10 -0 7.31074 -2.39069 
109.648 7.38855 0.739427 10 -0 7.38855 -2.40217 
112.202 7.46523 0.727976 10 -0 7.46523 -2.41362 
114.815 7.54073 0.716555 10 -0 7.54073 -2.42504 
117.49 7.61502 0.70517 10 -0 7.61502 -2.43642 
120.226 7.68805 0.693827 10 -0 7.68805 -2.44777 
123.027 7.75979 0.682531 10 -0 7.75979 -2.45906 
125.893 7.83021 0.671288 10 -0 7.83021 -2.4703 
128.825 7.89929 0.660104 10 -0 7.89929 -2.48149 
131.826 7.96699 0.648983 10 -0 7.96699 -2.49261 
134.896 8.03329 0.637931 10 -0 8.03329 -2.50366 
138.038 8.09819 0.626953 10 -0 8.09819 -2.51464 
141.254 8.16165 0.616053 10 -0 8.16165 -2.52554 
144.544 8.22367 0.605237 10 -0 8.22367 -2.53636 
147.911 8.28424 0.594508 10 -0 8.28424 -2.54708 
151.356 8.34335 0.58387 10 -0 8.34335 -2.55772 
154.882 8.401 0.573328 10 -0 8.401 -2.56826 
158.489 8.45719 0.562886 10 -0 8.45719 -2.57871 
162.181 8.51191 0.552546 10 -0 8.51191 -2.58905 
